sim,state,soln,step,pH,pe,temp(C),charge(eq),pct_err,Na(mol/kgw),Cl(mol/kgw),K(mol/kgw),P(mol/kgw),Cu(mol/kgw),Fe(mol/kgw),S(mol/kgw),Au(mol/kgw),P(5)(mol/kgw),Cu(1)(mol/kgw),Cu(2)(mol/kgw),Fe(2)(mol/kgw),Fe(3)(mol/kgw),S(-2)(mol/kgw),S(6)(mol/kgw),Au(1)(mol/kgw),Au(3)(mol/kgw),m_Fe+2(mol/kgw),m_Fe+3(mol/kgw),m_FeOH+(mol/kgw),m_FeOH+2(mol/kgw),m_FeCl+(mol/kgw),m_FeCl+2(mol/kgw),m_FeCl2(mol/kgw),m_FeCl2+(mol/kgw),m_Fe(OH)4-(mol/kgw),la_SO4-2,la_Cu(HS)2-,la_Au(HS)2-,la_AuHS,la_H+,la_OH-,la_HS-,la_H2S,la_Au(OH)2-,la_Au+,la_Au+3,la_AuCl,la_AuCl2-,la_AuCl3-2,la_AuCl4-,la_AuOH,la_Cu2S(HS)2-2,la_CuCl+,la_CuCl2,la_CuCl2-,la_CuCl3-,la_CuCl3-2,la_CuCl4-2,la_CuHS,la_CuCl,la_CuOH,la_CuOH+,la_S-2,Magnetite,d_Magnetite,Chalcocite(alpha),d_Chalcocite(alpha),Chalcopyrite(alpha),d_Chalcopyrite(alpha),Bornite(alpha),d_Bornite(alpha),Au(element),d_Au(element),Pyrite,d_Pyrite,Cu(element),d_Cu(element),si_Hematite,si_Magnetite,si_Chalcocite(alpha),si_Pyrite,si_Chalcopyrite(alpha),si_Bornite(alpha),si_Cu(element),si_Au(element),rxn_step,pH_user,logaHS-,logaH2S,SR_Hematite,add_Hematite,add_Chalcopyrite(alpha),add_H2S(g),add_Cu(1),add_Au(3),Pyrite_pct,Chalcopyrite(alpha)_pct,Bornite(alpha)_pct,Magnetite_pct,Chalcocite(alpha)_pct,Au(element)_pct,Cu(element)_pct
1,i_soln,1,-99,8.0,0.0,240.0,0.2530442006431134,15.361351353009542,1.05,0.5,0.001,0.1,0.0004999999999999997,0.00010000000000000038,0.1,0.0001,0.1,0.0004999999999999997,0.0,0.0,0.00010000000000000038,0.1,0.0,0.0,0.0001,0.0,2.604573813803929e-24,0.0,1.0010281996927607e-16,0.0,3.8355796623880335e-21,0.0,4.6738275439683367e-23,9.96427781024963e-05,-999.999,-3.7517610069083522,-999.999,-999.999,-8.0,-3.220620433705687,-1.378513727650429,-2.430779058765941,-999.999,-999.999,-5.988543203309693,-999.999,-999.999,-999.999,-32.40537179594306,-999.999,-8.76534748493536,-999.999,-999.999,-8.153219603438968,-999.999,-10.778298745961305,-999.999,-3.9933821671339143,-9.872901312496996,-8.531377158918952,-999.999,-6.409464160168408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.155900769729101,-999.999,1.4294868124043774,-999.999,-999.999,-999.999,-999.999,40.18178087308985,1.0,8.0,-1.378513727650429,-2.430779058765941,14318607.015665315,1.0914590509806667e-05,2.818186173076992e-06,0.001341990354489021,7.065734611525068e-05,6.666666666666666e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,i_soln,100101,-99,8.0,0.0,240.0,-0.000492783605584837,-63.42297352997195,0.0,0.0,0.0,0.0,0.9999999999999971,0.0,0.0,0.0,0.0,0.9999999999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-8.0,-3.2157004040477073,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-6.196071767946686e-05,-999.999,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,1.0,8.0,-99.99,-99.99,0.0,1.0914590509806667e-05,2.818186173076992e-06,0.001341990354489021,7.065734611525068e-05,6.666666666666666e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,i_soln,100102,-99,8.0,0.0,240.0,2.9986045440461253,99.90701205807707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-8.0,-3.215706120982619,-999.999,-999.999,-999.999,-999.999,-2.212279423983691,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,43.95804465241585,1.0,8.0,-99.99,-99.99,0.0,1.0914590509806667e-05,2.818186173076992e-06,0.001341990354489021,7.065734611525068e-05,6.666666666666666e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,react,1,1,8.158523798185207,-7.899196994776558,240.0,0.2530461648940231,15.375423819186176,1.0498786894435184,0.49994223306834207,0.000999884466136685,0.09998844661366826,3.453622682217364e-07,6.89122686597049e-09,0.09708712762951079,1.3855514063951497e-05,0.09998844580643047,3.4536226822172356e-07,1.28278959742089e-20,5.481779038117413e-09,1.4094478278530773e-09,0.09708679801158276,2.482937182694045e-07,1.3855514063951497e-05,0.0,2.189266058881448e-12,8.529288203017301e-30,2.2771201803095028e-10,4.722884201402632e-22,6.82347959120899e-11,1.2563415245981487e-26,3.2241200190421635e-13,1.5316910739557146e-28,1.4059492528994331e-09,-8.7186828770663,-6.913151771514948,-5.211051061730559,-7.659316537385777,-8.158523798185207,-3.062083912855825,-1.3824972935033175,-2.5932864228040557,-14.795595290349526,-22.594807450110775,-69.86791506072916,-17.056280586029025,-16.57997028986478,-17.581643884664416,-96.28453468288225,-9.827356581701608,-14.925621650109127,-24.841613198222475,-23.781836995459507,-11.306538751099662,-24.82043155217559,-13.931565651001884,-27.010384254607253,-7.150789365887732,-13.026272702777803,-11.52626427097001,-23.149150391256164,-6.2549239278359865,0.0,0.0,0.0,0.0,0.0005731301301144592,0.0005703119439413822,0.0,0.0,8.680955163668237e-05,8.680955163668237e-05,0.0015515103450589416,0.0015515103450589416,0.0,0.0,-2.86200875843652,-3.2697382291418275,-4.722820221064936,2.1316282072803006e-14,2.842170943040401e-14,-5.416610591631894,-4.518690352153089,1.7763568394002505e-15,1.0,8.158523798185207,-1.3824972935033175,-2.5932864228040557,0.001374014264925082,1.0914590509806667e-05,2.818186173076992e-06,0.001341990354489021,7.065734611525068e-05,6.666666666666666e-07,70.15805585699466,25.91648570694467,0.0,0.0,0.0,3.9254584360606706,0.0
2,i_soln,100201,-99,8.0,0.0,240.0,-0.000492783605584837,-63.42297352997195,0.0,0.0,0.0,0.0,0.9999999999999971,0.0,0.0,0.0,0.0,0.9999999999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-8.0,-3.2157004040477073,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-6.196071767946686e-05,-999.999,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,2.0,8.0,-99.99,-99.99,0.0,1.0913743221205396e-05,2.8590736868218044e-06,0.001340043334466399,7.064747301052629e-05,6.632996632996632e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,i_soln,100202,-99,8.0,0.0,240.0,2.9986045440461253,99.90701205807707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-8.0,-3.215706120982619,-999.999,-999.999,-999.999,-999.999,-2.212279423983691,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,43.95804465241585,2.0,8.0,-99.99,-99.99,0.0,1.0913743221205396e-05,2.8590736868218044e-06,0.001340043334466399,7.064747301052629e-05,6.632996632996632e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,react,2,1,8.158396559522565,-7.886392464028661,240.0,0.2530481190534911,15.375553905875215,1.0498024879604317,0.49990594664782445,0.00099981189329565,0.09998118932956493,3.556424634995244e-07,6.536658484598579e-09,0.09708008021856167,1.4267683239076898e-05,0.09998118856812994,3.556424634995108e-07,1.3595304746447813e-20,5.168738531480384e-09,1.3679199531181946e-09,0.09707968054636297,3.1347141764770843e-07,1.4267683239076898e-05,0.0,2.065391575559084e-12,8.287387827083883e-30,2.1476909746802563e-10,4.587633170831213e-22,6.437121257820105e-11,1.2206440946019479e-26,3.0414040305888456e-13,1.4881112811727279e-28,1.364523453669209e-09,-8.617421869910421,-6.9004169346937925,-5.198316224909375,-7.646546853601244,-8.158396559522565,-3.0622099624935073,-1.3825321404666842,-2.5931940311047654,-14.783042858876998,-22.58200291936288,-69.82950146848546,-17.043502151685527,-16.567217951925677,-17.56891764312971,-96.24622547625614,-9.814678100591395,-14.900244368166046,-24.816030233131077,-23.756280126772513,-11.293786413160566,-24.79490077989299,-13.918839409467184,-26.98487957872905,-7.138019682103199,-13.01349426843431,-11.513585789859802,-23.123667379398057,-6.255086013461979,0.0,0.0,0.0,0.0,0.000643767295924037,7.063716580957779e-05,0.0,0.0,8.705959873907379e-05,2.500471023914242e-07,0.0014808735333841866,-7.063681167475497e-05,0.0,0.0,-2.887729342329349,-3.320996991578806,-4.697373245195131,3.552713678800501e-14,1.4210854715202004e-14,-5.36571663989227,-4.5186903521530954,0.0,2.0,8.158396559522565,-1.3825321404666842,-2.5931940311047654,0.0012950026516208573,1.0913743221205396e-05,2.8590736868218044e-06,0.001340043334466399,7.064747301052629e-05,6.632996632996632e-07,66.9563343482121,29.107345993164945,0.0,0.0,0.0,3.936319658622954,0.0
3,i_soln,100301,-99,8.0,0.0,240.0,-0.000492783605584837,-63.42297352997195,0.0,0.0,0.0,0.0,0.9999999999999971,0.0,0.0,0.0,0.0,0.9999999999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-8.0,-3.2157004040477073,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-6.196071767946686e-05,-999.999,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,3.0,8.0,-99.99,-99.99,0.0,1.0912842993776011e-05,2.901219180168995e-06,0.0013380364107898359,7.063698303146514e-05,6.599326599326598e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,i_soln,100302,-99,8.0,0.0,240.0,2.9986045440461253,99.90701205807707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-8.0,-3.215706120982619,-999.999,-999.999,-999.999,-999.999,-2.212279423983691,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,43.95804465241585,3.0,8.0,-99.99,-99.99,0.0,1.0912842993776011e-05,2.901219180168995e-06,0.0013380364107898359,7.063698303146514e-05,6.599326599326598e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,react,3,1,8.158271012686471,-7.872852498624302,240.0,0.25305006312181594,15.375683730293249,1.0497263142377116,0.49986967344652916,0.0009997393468930598,0.09997393468930582,3.6684875565989644e-07,6.1824863849296245e-09,0.09707303537553498,1.4716987157287999e-05,0.09997393397350876,3.66848755659882e-07,1.4457669983498114e-20,4.857104274572652e-09,1.3253821103569718e-09,0.09707254252451204,4.011700135880753e-07,1.4716987157287999e-05,0.0,1.94192657377399e-12,8.03867587403363e-30,2.0187654751024355e-10,4.448706382847683e-22,6.052071332353123e-11,1.1839473354286756e-26,2.8593255030591893e-13,1.443316694515992e-28,1.3220902684668597e-09,-8.510262562122929,-6.886947462002019,-5.18484675221763,-7.633042134553172,-8.158271012686471,-3.0623343212211607,-1.3825673868229846,-2.593103730624968,-14.76975161092794,-22.56846295395852,-69.78888157227239,-17.02998827371109,-16.55373016138117,-17.555455940015122,-96.20570992976276,-9.801262493914688,-14.873395723262329,-24.788976389752285,-23.72925237082364,-11.280298622616053,-24.767899111374046,-13.905377706352596,-26.957903997640024,-7.124514963055141,-12.999980390459871,-11.500170183183094,-23.09671180731699,-6.255246806654373,0.0,0.0,0.0,0.0,0.0007143930439294615,7.062574800542458e-05,0.0,0.0,8.726907480405181e-05,2.0947606497801797e-07,0.0014102481391687776,-7.062539421540896e-05,0.0,0.0,-2.9149158170597094,-3.375191716296836,-4.670454107578813,-7.105427357601002e-15,1.4210854715202004e-14,-5.311878364659663,-4.518690352153094,0.0,3.0,8.158271012686471,-1.3825673868229846,-2.593103730624968,0.0012164217670241927,1.0912842993776011e-05,2.901219180168995e-06,0.0013380364107898359,7.063698303146514e-05,6.599326599326598e-07,63.75702332997064,32.297560055938725,0.0,0.0,0.0,3.9454166140906257,0.0
