soln,cell,cell_plot,dist_x,time,step,pH,pe,temp(C),charge(eq),pct_err,Na(mol/kgw),Cl(mol/kgw),K(mol/kgw),P(mol/kgw),Cu(mol/kgw),Fe(mol/kgw),S(mol/kgw),Au(mol/kgw),P(5)(mol/kgw),Cu(1)(mol/kgw),Cu(2)(mol/kgw),Fe(2)(mol/kgw),Fe(3)(mol/kgw),S(-2)(mol/kgw),S(6)(mol/kgw),Au(1)(mol/kgw),Au(3)(mol/kgw),m_Fe+2(mol/kgw),m_Fe+3(mol/kgw),m_FeOH+(mol/kgw),m_FeOH+2(mol/kgw),m_FeCl+(mol/kgw),m_FeCl+2(mol/kgw),m_FeCl2(mol/kgw),m_FeCl2+(mol/kgw),m_Fe(OH)4-(mol/kgw),la_SO4-2,la_Cu(HS)2-,la_Au(HS)2-,la_AuHS,la_H+,la_OH-,la_HS-,la_H2S,la_Au(OH)2-,la_Au+,la_Au+3,la_AuCl,la_AuCl2-,la_AuCl3-2,la_AuCl4-,la_AuOH,la_Cu2S(HS)2-2,la_CuCl+,la_CuCl2,la_CuCl2-,la_CuCl3-,la_CuCl3-2,la_CuCl4-2,la_CuHS,la_CuCl,la_CuOH,la_CuOH+,la_S-2,Magnetite,d_Magnetite,Chalcocite(alpha),d_Chalcocite(alpha),Chalcopyrite(alpha),d_Chalcopyrite(alpha),Bornite(alpha),d_Bornite(alpha),Au(element),d_Au(element),Pyrite,d_Pyrite,Cu(element),d_Cu(element),si_Hematite,si_Magnetite,si_Chalcocite(alpha),si_Pyrite,si_Chalcopyrite(alpha),si_Bornite(alpha),si_Cu(element),si_Au(element),k_Hematite_PK,dk_Hematite_PK,stage,u_step,time_days,pH_user,logaHS-,logaH2S,SR_Hematite,HematitePK_m,HematitePK_m_pct,Pyrite_pct,Chalcopyrite(alpha)_pct,Bornite(alpha)_pct,Magnetite_pct,Chalcocite(alpha)_pct,Au(element)_pct,Cu(element)_pct
0,0,0,-99.0,-99.0,-99,8.0,0.0,240.0,4.1215260387674704e-13,2.7112678587250995e-09,1.0500000001924736,0.8261364205125726,0.0010000000000618655,0.10000000004483608,0.000650000001004161,0.0003000000002307268,0.024000000006523685,0.00010000000000000399,0.10000000004483608,0.000650000001004161,0.0,0.0,0.0003000000002307268,0.024000000006523685,0.0,0.0,0.00010000000000000399,0.0,8.331807480117155e-24,0.0,3.153776681591014e-16,0.0,1.958980888707912e-20,0.0,3.702981611920609e-22,0.0002989375250093388,-999.999,-3.8687789723168415,-999.999,-999.999,-8.0,-3.222526380279133,-2.01976010077903,-3.072025431894542,-999.999,-999.999,-6.0212352471243,-999.999,-999.999,-999.999,-31.606429361011585,-999.999,-8.358137042623738,-999.999,-999.999,-6.571927583217216,-999.999,-8.989098106053033,-999.999,-3.4691537594138038,-8.499517911961764,-7.367808324643685,-999.999,-7.050710533297009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.104556553226677,-999.999,3.119190000973198,-999.999,-999.999,-999.999,-999.999,40.149088829275236,0.0,0.0,1.0,0.0,0.0,8.0,-2.01976010077903,-3.072025431894542,127220340.38672765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,-99.0,-99.0,-99,8.0,0.0,240.0,-1.6717748672488882e-14,-1.0463711298552635e-09,0.09999999999999996,0.09881071595005232,1.0000000000024542e-10,0.0,5.000000049723032e-05,9.999999999999467e-06,0.0,0.0,0.0,0.0,5.000000049723032e-05,0.0,9.999999999999467e-06,0.0,0.0,0.0,0.0,0.0,8.96393223474862e-26,0.0,4.9191653728722454e-18,0.0,5.448548879873691e-23,0.0,3.8748739637243803e-25,9.952288151847237e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.209727248982809,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-9.202144303123113,-8.67052242495973,-999.999,-10.237271306275282,-999.999,-12.955378333306188,-999.999,-999.999,-999.999,-7.129170507684355,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.396561441186786,-999.999,-999.999,-999.999,-999.999,-999.999,-4.1494611220073505,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,249207.69093100238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,-99.0,-99.0,-99,8.0,0.0,240.0,-7.674118502123961e-19,-6.173653656671307e-14,0.07780676012152148,0.07669543763773362,7.780676012152151e-11,0.0,3.890338006076055e-05,7.780676012152191e-06,0.0,0.0,0.0,0.0,3.890338006076055e-05,0.0,7.780676012152191e-06,0.0,0.0,0.0,0.0,0.0,6.047625238038632e-26,0.0,3.52694509989904e-18,0.0,3.1639436320086367e-23,0.0,1.9804096530987802e-25,7.742139362959066e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.209398748619194,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-9.387972323879492,-8.947581335699184,-999.999,-10.605561106997811,-999.999,-13.41489902401179,-999.999,-999.999,-999.999,-7.223439138094045,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21074519734086,-999.999,-999.999,-999.999,-999.999,-999.999,-4.244058252780654,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,162459.53182059329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,-99.0,-99.0,-99,8.0,0.0,240.0,-7.437084802164318e-16,-7.452468103226839e-11,0.062467453182377806,0.061415220100471034,6.246745318238805e-11,0.0,3.123372659118898e-05,6.2467453182378165e-06,0.0,0.0,0.0,0.0,3.123372659118898e-05,0.0,6.2467453182378165e-06,0.0,0.0,0.0,0.0,0.0,4.2824087629719087e-26,0.0,2.640379007061842e-18,0.0,1.9649887605381428e-23,0.0,1.0955146220183156e-25,6.2148166892315865e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.2091718496810624,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-9.552180136726276,-9.192698488214084,-999.999,-10.931587599180828,-999.999,-13.821834855862926,-999.999,-999.999,-999.999,-7.306510712334582,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0471446038654495,-999.999,-999.999,-999.999,-999.999,-999.999,-4.327356725959323,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,111466.5613888293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,4,-99.0,-99.0,-99,8.0,0.0,240.0,-7.690991398433267e-15,-9.489904689881624e-10,0.05073298939556503,0.049729939635694234,5.0732989395659333e-11,0.0,2.5366494697782522e-05,5.0732989395565e-06,0.0,0.0,0.0,0.0,2.5366494697782522e-05,0.0,5.0732989395565e-06,0.0,0.0,0.0,0.0,0.0,3.0879747723781877e-26,0.0,2.0103381440149237e-18,0.0,1.2505800820148022e-23,0.0,6.222885640904394e-26,5.04661582020335e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.2089983575251115,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-9.709300949797798,-9.427497214222747,-999.999,-11.244064238126635,-999.999,-14.211989407745873,-999.999,-999.999,-999.999,-7.385780120313008,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8910958029089455,-999.999,-999.999,-999.999,-999.999,-999.999,-4.406799626093701,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,77820.82004388073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,5,-99.0,-99.0,-99,8.0,0.0,240.0,-1.7252443556750726e-13,-2.6197105523103037e-08,0.041227372006638736,0.04026759087013494,4.122737200848769e-11,0.0,2.0613686003319967e-05,4.122737200663829e-06,0.0,0.0,0.0,0.0,2.0613686003319967e-05,0.0,4.122737200663829e-06,0.0,0.0,0.0,0.0,0.0,2.2303898917951563e-26,0.0,1.5347743536099078e-18,0.0,7.966048826673781e-24,0.0,3.52370375763146e-26,4.100455416122257e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.2088578724515338,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-9.867554747142588,-9.664254490295372,-999.999,-11.559324992927092,-999.999,-14.605753641274163,-999.999,-999.999,-999.999,-7.465389953856391,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.734393198263734,-999.999,-999.999,-999.999,-999.999,-999.999,-4.48654994471066,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,54249.18252873775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,6,-99.0,-99.0,-99,8.0,0.0,240.0,-2.600391148070702e-19,-4.897974047012136e-14,0.03323755933226253,0.032317352586029316,3.32375593322626e-11,0.0,1.6618779666131257e-05,3.3237559332262865e-06,0.0,0.0,0.0,0.0,1.6618779666131257e-05,0.0,3.3237559332262865e-06,0.0,0.0,0.0,0.0,0.0,1.5933494209601284e-26,0.0,1.1622958676891218e-18,0.0,4.985490782980419e-24,0.0,1.9417830628809396e-26,3.305304451461491e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.208739827548955,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-10.033639920947074,-9.913028825858564,-999.999,-11.890788490248992,-999.999,-15.01990630035477,-999.999,-999.999,-999.999,-7.548667920999591,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5704483919879575,-999.999,-999.999,-999.999,-999.999,-999.999,-4.569945956756438,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,37191.90227144108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,7,-99.0,-99.0,-99,8.0,0.0,240.0,-1.8411955174466726e-17,-4.375344887925504e-12,0.0263459529820343,0.025463093882771154,2.6345952982034488e-11,0.0,1.3172976491017137e-05,2.6345952982034394e-06,0.0,0.0,0.0,0.0,1.3172976491017137e-05,0.0,2.6345952982034394e-06,0.0,0.0,0.0,0.0,0.0,1.1112743327549174e-26,0.0,8.636296249426462e-19,0.0,3.0059904934445578e-24,0.0,1.0143192809866691e-26,2.619566590750044e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.20863803623679,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-10.214914554362846,-10.18493282055344,-999.999,-12.25332184622297,-999.999,-15.473069017607852,-999.999,-999.999,-999.999,-7.639211401824095,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.392137926888688,-999.999,-999.999,-999.999,-999.999,-999.999,-4.660591228893107,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,24668.22647094883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,8,-99.0,-99.0,-99,8.0,0.0,240.0,-2.5354406616752423e-15,-7.825042746534401e-10,0.020286814416045483,0.01944023568256282,2.028681441606204e-11,0.0,1.0143407208022763e-05,2.0286814416045508e-06,0.0,0.0,0.0,0.0,1.0143407208022763e-05,0.0,2.0286814416045508e-06,0.0,0.0,0.0,0.0,0.0,7.43987319400901e-27,0.0,6.207215156176604e-19,0.0,1.700643624305925e-24,0.0,4.843095763676532e-27,2.0167756028199064e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.2085485627971813,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-10.421575833371866,-10.495448181483297,-999.999,-12.667691289073662,-999.999,-15.991292542379382,-999.999,-999.999,-999.999,-7.741929125472668,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.189735942305428,-999.999,-999.999,-999.999,-999.999,-999.999,-4.76339842598129,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,15478.752009212023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,9,-99.0,-99.0,-99,8.0,0.0,240.0,-5.298387512016117e-14,-2.2294393133435066e-08,0.014880530847477973,0.014070308252591177,1.488053084775259e-11,0.0,7.440265423738951e-06,1.4880530847477965e-06,0.0,0.0,0.0,0.0,7.440265423738951e-06,0.0,1.4880530847477965e-06,0.0,0.0,0.0,0.0,0.0,4.6547752878615046e-27,0.0,4.218783229995927e-19,0.0,8.644641148407166e-25,0.0,1.9885509671625977e-27,1.4790474000553243e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.208468747773677,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-10.670724422747497,-10.87067371300305,-999.999,-13.16899376273754,-999.999,-16.618671958187385,-999.999,-999.999,-999.999,-7.86492095768067,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.947180932975715,-999.999,-999.999,-999.999,-999.999,-999.999,-4.886470073212797,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,8854.84437831351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
