sim,state,soln,step,pH,pe,temp(C),Na(mol/kgw),Cl(mol/kgw),K(mol/kgw),P(mol/kgw),Cu(mol/kgw),Fe(mol/kgw),S(mol/kgw),Au(mol/kgw),P(5)(mol/kgw),Cu(1)(mol/kgw),Cu(2)(mol/kgw),Fe(2)(mol/kgw),Fe(3)(mol/kgw),S(-2)(mol/kgw),S(6)(mol/kgw),Au(1)(mol/kgw),Au(3)(mol/kgw),m_Fe+2(mol/kgw),m_Fe+3(mol/kgw),m_FeOH+(mol/kgw),m_FeOH+2(mol/kgw),m_FeCl+(mol/kgw),m_FeCl+2(mol/kgw),m_FeCl2(mol/kgw),m_FeCl2+(mol/kgw),m_Fe(OH)4-(mol/kgw),la_SO4-2,la_Cu(HS)2-,la_Au(HS)2-,la_AuHS,la_H+,la_OH-,la_HS-,la_H2S,la_Au(OH)2-,la_Au+,la_Au+3,la_AuCl,la_AuCl2-,la_AuCl3-2,la_AuCl4-,la_AuOH,la_Cu2S(HS)2-2,la_CuCl+,la_CuCl2,la_CuCl2-,la_CuCl3-,la_CuCl3-2,la_CuCl4-2,la_CuHS,la_CuCl,la_CuOH,la_CuOH+,la_S-2,Magnetite,d_Magnetite,Chalcocite(alpha),d_Chalcocite(alpha),Chalcopyrite(alpha),d_Chalcopyrite(alpha),Bornite(alpha),d_Bornite(alpha),Au(element),d_Au(element),Pyrite,d_Pyrite,Cu(element),d_Cu(element),si_Hematite,si_Magnetite,si_Chalcocite(alpha),si_Pyrite,si_Chalcopyrite(alpha),si_Bornite(alpha),si_Cu(element),si_Au(element),rxn_step,pH_punched,logaHS,logaH2S,SR_Hematite
1,i_soln,1,-99,8.0,0.0,240.0,1.0500000000000003,0.8261517317019011,0.0010000000000000005,0.10000000000000019,0.0006432716002312091,0.0003056069998073365,0.023971705997575414,0.0001,0.10000000000000019,0.0006432716002312091,0.0,0.0,0.0003056069998073365,0.023971705997575414,0.0,0.0,0.0001,0.0,8.487526523538507e-24,0.0,3.2127200746103533e-16,0.0,1.9956306916705634e-20,0.0,3.7723292298534206e-22,0.00030452466707768863,-999.999,-3.873477158917057,-999.999,-999.999,-8.0,-3.2225263494619774,-2.020104008806069,-3.0723693399215812,-999.999,-999.999,-6.021235245339058,-999.999,-999.999,-999.999,-31.606397131345226,-999.999,-8.36718950779713,-999.999,-999.999,-6.575921839822794,-999.999,-8.99308430568833,-999.999,-3.47350803798698,-8.50352022553762,-7.371818664372669,-999.999,-7.051054441324047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.120640484997397,-999.999,3.1108253518538866,-999.999,-999.999,-999.999,-999.999,40.14908883106048,,,,,
1,react,1,1,8.011760262464833,-7.355144250374969,240.0,1.0499828240946816,0.8261382175076819,0.0009999836419949367,0.09999836419949296,3.104302847069547e-06,4.199510035092119e-12,0.02319264498926331,2.660548798965033e-06,0.09999836405960778,3.1043028470678807e-06,1.666278423517617e-18,2.8464502540702957e-12,1.3530597810218227e-12,0.02313081350892722,6.180188083142611e-05,2.660548798965033e-06,0.0,2.4352592114756994e-15,3.371406526893876e-32,1.7358170192304887e-13,1.3112685866920667e-24,1.1822438687939046e-13,7.928212052129476e-29,8.8942936580188e-16,1.4991062047763425e-30,1.3483952303487191e-12,-6.330079290093233,-6.1885631038047935,-5.937592648072962,-7.750560958356196,-8.011760262464833,-3.2107597939222687,-2.0177944588753243,-3.081820052455676,-14.548894308080826,-22.05075470570919,-68.23575682752438,-16.3043205392878,-15.620102940783923,-16.413869233243922,-93.82074724031892,-9.431979718366465,-12.9879106850372,-22.094470153027086,-20.826786647924486,-8.895541147966231,-21.657473902300932,-11.31266074552882,-23.63951930239296,-5.790903532805579,-10.823182401984006,-9.679757153582292,-20.758590529466854,-7.036984628928362,0.0,0.0,0.0,0.0,1.7769854628715942e-06,1.7769854628715942e-06,6.688705019906338e-07,6.688705019906338e-07,7.787152614324988e-07,7.787152614324988e-07,0.0,0.0,0.0,0.0,-8.610450201335846,-12.288733429498997,-1.5145149252489816,-3.451130254052579,-1.9999999999999858,-1.0,-3.067560098100518,0.0,1.0,8.011760262464833,-2.0177944588753243,-3.081820052455676,2.452165616882468e-09
1,react,1,2,8.011784249688304,-7.355170639697964,240.0,1.0499828231236485,0.8261382167436626,0.0009999836410701439,0.0999983641070136,3.1041985676378267e-06,4.1999761772090156e-12,0.02319245741874478,2.6603546913139325e-06,0.09999836396712707,3.10419856763616e-06,1.6664040666447772e-18,2.8467173847242173e-12,1.353258792484798e-12,0.023130625641527673,6.180217841423024e-05,2.6603546913139325e-06,0.0,2.435227734938531e-15,3.3711580794345483e-32,1.7358904873805323e-13,1.3112443857028292e-24,1.1822286157421537e-13,7.927627906114228e-29,8.89417903132128e-16,1.4989957895293003e-30,1.3485938126895312e-12,-6.330077174194078,-6.188579084240071,-5.937624353160682,-7.750590005561527,-8.011784249688304,-3.2107358058602404,-2.0177971167576834,-3.0818466975615024,-14.548872721279764,-22.05078109503218,-68.23583599549337,-16.304346924805884,-15.620129322497093,-16.413895611152178,-93.82082639306829,-9.431982119627431,-12.987916000801865,-22.094507203215727,-20.826823694308217,-8.895551805026964,-21.657510944879753,-11.31267139878464,-23.639556341166866,-5.790916855358482,-10.823193062849654,-9.679743830190827,-20.758603595398384,-7.036963299587245,0.0,0.0,0.0,0.0,1.778235254310399e-06,1.249791438804754e-09,6.686207105480998e-07,-2.4979144253405915e-10,7.787168142994274e-07,1.552866928604792e-12,0.0,0.0,0.0,0.0,-8.610370263502704,-12.288611121069039,-1.5145149252489816,-3.451145978705007,-1.9999999999999716,-1.0,-3.067544373448083,0.0,2.0,8.011784249688304,-2.0177971167576834,-3.0818466975615024,2.4526170130096324e-09
1,react,1,3,8.011808236327267,-7.3551970283584,240.0,1.0499828221526946,0.8261382159797053,0.0009999836401454252,0.09999836401454186,3.1040942931590986e-06,4.200442367504253e-12,0.023192269848230113,2.660160600715259e-06,0.09999836387465395,3.104094293157432e-06,1.6665297170841675e-18,2.846984538371739e-12,1.3534578291325139e-12,0.023130437774138583,6.180247599042168e-05,2.660160600715259e-06,0.0,2.4351962608133098e-15,3.3709096582015765e-32,1.7359639577337074e-13,1.3112201864754056e-24,1.1822133638615098e-13,7.927043821761354e-29,8.89406441343536e-16,1.498885385937266e-30,1.3487924201834674e-12,-6.33007505835086,-6.188595064526717,-5.93765605777734,-7.750619052200101,-8.011808236327267,-3.2107118183827397,-2.0177997747357908,-3.081873342178582,-14.548851134985199,-22.05080748369262,-68.23591516147468,-16.30437330966126,-15.620155703547404,-16.41392198839743,-93.82090554382933,-9.431984520810367,-12.987921316758108,-22.09454425240152,-20.826860739688946,-8.89556246174726,-21.65754798645542,-11.312682051699873,-23.63959337893747,-5.790930177667029,-10.823203723375011,-9.679730507043743,-20.758616660911734,-7.036941970926403,0.0,0.0,0.0,0.0,1.7794850457591092e-06,1.2497914487101691e-09,6.683709190956601e-07,-2.4979145243968595e-10,7.78718367029938e-07,1.552730510666384e-12,0.0,0.0,0.0,0.0,-8.610290327135887,-12.288488814916604,-1.5145149252489674,-3.451161703035048,-2.0000000000000284,-1.0000000000000284,-3.0675286491180653,0.0,3.0,8.011808236327267,-2.0177997747357908,-3.081873342178582,2.453068483947676e-09
1,react,1,4,8.011832222382012,-7.355223416359214,240.0,1.0499828211818183,0.826138215215809,0.000999983639220781,0.09999836392207737,3.103990023632919e-06,4.200908606002708e-12,0.023192082277720436,2.6599665271505505e-06,0.0999983637821881,3.103990023631252e-06,1.6666553748270765e-18,2.8472517150334347e-12,1.3536568909692728e-12,0.023130249906764044,6.180277355704131e-05,2.6599665271505505e-06,0.0,2.43516478911321e-15,3.370661263187395e-32,1.7360374303006174e-13,1.3111959890088567e-24,1.1821981131583443e-13,7.926459799053129e-29,8.89394980440905e-16,1.4987749939969e-30,1.348991052834825e-12,-6.330072942584372,-6.188611044664732,-5.93768776192568,-7.750648098274652,-8.011832222382012,-3.2106878314894773,-2.017802432809555,-3.0818999863070857,-14.548829549199487,-22.05083387169343,-68.23599432547712,-16.304399693856862,-15.620182083937797,-16.41394836498261,-93.82098469261095,-9.431986921917918,-12.98792663290564,-22.094581300587613,-20.82689778406983,-8.89557311812733,-21.657585027031093,-11.312692704274731,-23.639630415707934,-5.79094349973127,-10.823214383560291,-9.679717184140973,-20.758629726009776,-7.036920642945403,0.0,0.0,0.0,0.0,1.780734837217723e-06,1.2497914586138901e-09,6.681211276333163e-07,-2.4979146234383044e-10,7.7871991962418e-07,1.5525942419116539e-12,0.0,0.0,0.0,0.0,-8.610210392234805,-12.288366511038179,-1.5145149252489603,-3.4511774270453586,-1.9999999999999858,-0.9999999999999432,-3.0675129251077413,1.7763568394002505e-15,4.0,8.011832222382012,-2.017802432809555,-3.0818999863070857,2.453520029710662e-09
1,react,1,5,8.011856207853215,-7.355249803705122,240.0,1.0499828202110206,0.8261382144519744,0.0009999836382962118,0.09999836382962043,3.1038857590571452e-06,4.2013748927447725e-12,0.023191894707215277,2.6597724705904593e-06,0.0999983636897298,3.1038857590554787e-06,1.6667810398616782e-18,2.847518914742453e-12,1.3538559780023198e-12,0.023130062039408057,6.18030711096057e-05,2.6597724705904593e-06,0.0,2.4351333198578796e-15,3.370412894379696e-32,1.736110905098081e-13,1.311171793301557e-24,1.18218286364222e-13,7.925875837960287e-29,8.893835204314176e-16,1.498664613702707e-30,1.3491897106508392e-12,-6.33007082692612,-6.188627024654303,-5.937719465610223,-7.750677143789893,-8.011856207853215,-3.2106638451797753,-2.0178050909788694,-3.0819266299476027,-14.548807963925993,-22.05086025903934,-68.23607348751484,-16.30442607739741,-15.620208463672986,-16.413974740912444,-93.82106383942723,-9.431989322954124,-12.987931949244212,-22.094618347779114,-20.82693482745597,-8.89558377416756,-21.657622066611875,-11.312703356509605,-23.639667451483355,-5.790956821551539,-10.82322504340588,-9.67970386148222,-20.758642790696932,-7.036899315643529,0.0,0.0,0.0,0.0,1.7819846286862364e-06,1.249791468513376e-09,6.678713361610724e-07,-2.4979147224384565e-10,7.787214720823868e-07,1.552458206832138e-12,0.0,0.0,0.0,0.0,-8.610130458797775,-12.288244209427184,-1.5145149252489674,-3.451193150740316,-2.0,-1.0,-3.067497201412783,0.0,5.0,8.011856207853215,-2.0178050909788694,-3.0819266299476027,2.4539716503188215e-09
1,react,1,6,8.01188019273921,-7.355276190384568,240.0,1.0499828192403007,0.826138213688201,0.000999983637371716,0.09999836373717086,3.1037814994356593e-06,4.2018412276449525e-12,0.02319170713671388,2.6595784311008754e-06,0.09999836359727886,3.1037814994339927e-06,1.6669067122175656e-18,2.8477861374224455e-12,1.3540550902225068e-12,0.0231298741720589,6.180336865909226e-05,2.6595784311008754e-06,0.0,2.435101852998898e-15,3.3701645517980745e-32,1.7361843820849597e-13,1.3111475993572548e-24,1.1821676152896057e-13,7.925291938529232e-29,8.893720612973827e-16,1.4985542450634247e-30,1.3493883936223824e-12,-6.330068711298961,-6.188643004495015,-5.937751168819938,-7.750706188734476,-8.01188019273921,-3.2106398594553034,-2.017807749244011,-3.0819532730987405,-14.5487863791565,-22.050886645718787,-68.23615264755318,-16.30445246027135,-15.620234842741421,-16.41400111617537,-93.82114298424352,-9.4319917239091,-12.987937265774502,-22.09465539396348,-20.82697186983483,-8.895594429866977,-21.65765910518523,-11.312714008403514,-23.6397044862512,-5.790970143127105,-10.823235702910802,-9.679690539068176,-20.758655854962335,-7.036877989022664,0.0,0.0,0.0,0.0,1.7832344201646573e-06,1.2497914784209085e-09,6.676215446789207e-07,-2.497914821516959e-10,7.787230244040312e-07,1.5523216443687335e-12,0.0,0.0,0.0,0.0,-8.610050526828958,-12.288121910099743,-1.5145149252489816,-3.451208874109348,-2.0000000000000284,-1.0000000000000284,-3.0674814780437654,0.0,6.0,8.01188019273921,-2.017807749244011,-3.0819532730987405,2.4544233457593644e-09
1,react,1,7,8.01190417704089,-7.355302576404199,240.0,1.0499828182696582,0.8261382129244889,0.0009999836364472945,0.09999836364472864,3.10367724476634e-06,4.202307610757832e-12,0.023191519566217282,2.6593844086413976e-06,0.09999836350483526,3.1036772447646726e-06,1.6670323918773918e-18,2.848053383119338e-12,1.3542542276384941e-12,0.023129686304724003,6.18036661991035e-05,2.6593844086413976e-06,0.0,2.4350703885644982e-15,3.369916235427052e-32,1.736257861285058e-13,1.3111234071737129e-24,1.182152368114223e-13,7.924708100723502e-29,8.893606030491152e-16,1.4984438880721593e-30,1.3495871017581016e-12,-6.330066595747851,-6.188658984187026,-5.937782871561152,-7.750735233114895,-8.01190417704089,-3.2106158743151663,-2.0178104076048027,-3.0819799157612096,-14.548764794895853,-22.050913031738418,-68.23623180561208,-16.304478842485327,-15.62026122114974,-16.414027490778032,-93.8212221270798,-9.431994124788591,-12.987942582496082,-22.09469243914789,-20.827008911213582,-8.895605085226098,-21.657696142758326,-11.31272465995698,-23.639741520018646,-5.790983464458321,-10.823246362075581,-9.679677216898469,-20.758668918812262,-7.03685666308177,0.0,0.0,0.0,0.0,1.7844842116529813e-06,1.2497914883239943e-09,6.673717531868654e-07,-2.49791492055311e-10,7.787245765894365e-07,1.5521854053660356e-12,0.0,0.0,0.0,0.0,-8.60997059632616,-12.28799961304682,-1.5145149252489603,-3.451224597158536,-2.0,-0.9999999999999716,-3.0674657549945676,0.0,7.0,8.01190417704089,-2.0178104076048027,-3.0819799157612096,2.4548751160554204e-09
1,react,1,8,8.011928160758023,-7.355328961762244,240.0,1.0499828172990933,0.8261382121608379,0.000999983635522947,0.09999836355229354,3.10357299504931e-06,4.202774042073762e-12,0.023191331995726212,2.6591904032210675e-06,0.0999983634123988,3.1035729950476424e-06,1.6671580788458545e-18,2.848320651822611e-12,1.3544533902511505e-12,0.02312949843740238,6.180396373135496e-05,2.6591904032210675e-06,0.0,2.4350389265469286e-15,3.3696679452666733e-32,1.736331342691995e-13,1.311099216751376e-24,1.1821371221123031e-13,7.924124324543206e-29,8.89349145683784e-16,1.4983335427289441e-30,1.3497858350588675e-12,-6.330064480260733,-6.188674963730294,-5.937814573832115,-7.750764276929395,-8.011928160758023,-3.210591889759594,-2.0178130660612648,-3.082006557934811,-14.548743211142751,-22.050939417096462,-68.23631096168621,-16.304505224037566,-15.620287598896176,-16.414053864718667,-93.82130126793072,-9.431996525591066,-12.98794789940904,-22.09472948333047,-20.82704595159036,-8.89561574024483,-21.6577331793293,-11.312735311169908,-23.639778552783813,-5.790996785545126,-10.823257020900117,-9.67966389497324,-20.758681982245076,-7.03683533782111,0.0,0.0,0.0,0.0,1.7857340031512086e-06,1.2497914982272917e-09,6.671219616849067e-07,-2.4979150195871435e-10,7.787261286385332e-07,1.5520490966948778e-12,0.0,0.0,0.0,0.0,-8.60989066728998,-12.287877318270844,-1.5145149252489674,-3.4512403198862174,-1.9999999999999574,-0.9999999999999716,-3.067450032266862,0.0,8.0,8.011928160758023,-2.0178130660612648,-3.082006557934811,2.4553269612143335e-09
1,react,1,9,8.011952143891168,-7.355355346463248,240.0,1.0499828163286073,0.8261382113972486,0.0009999836345986743,0.09999836345986642,3.1034687502829526e-06,4.203240521630219e-12,0.02319114442523865,2.6589964148111596e-06,0.09999836331997031,3.1034687502812856e-06,1.6672837731107747e-18,2.8485879435635967e-12,1.3546525780666226e-12,0.023129310570096453,6.180426125140291e-05,2.6589964148111596e-06,0.0,2.4350074669656266e-15,3.3694196813056e-32,1.736404826321931e-13,1.3110750280886722e-24,1.182121877293288e-13,7.923540609961615e-29,8.893376892084885e-16,1.498223209028726e-30,1.3499845935308188e-12,-6.330062364868835,-6.188690943124973,-5.937846275637247,-7.75079332018246,-8.011952143891168,-3.210567905788032,-2.0178157246133273,-3.0820331996200068,-14.548721627900632,-22.050965801797467,-68.23639011578922,-16.30453160493262,-15.620313975985281,-16.414080238001816,-93.82138040680992,-9.431998926320507,-12.98795321651315,-22.094766526516075,-20.827082990970016,-8.89562639492348,-21.657770214903003,-11.312745962042607,-23.639815584551563,-5.791010106387738,-10.823267679384719,-9.679650573292228,-20.75869504526507,-7.036814013240024,0.0,0.0,0.0,0.0,1.7869837946593365e-06,1.2497915081278363e-09,6.66872170173047e-07,-2.497915118596825e-10,7.787276805515462e-07,1.5519130130168466e-12,0.0,0.0,0.0,0.0,-8.609810739719174,-12.287755025765996,-1.5145149252489958,-3.4512560422967127,-2.0000000000000284,-1.0000000000000853,-3.067434309856413,0.0,9.0,8.011952143891168,-2.0178157246133273,-3.0820331996200068,2.4557788812538523e-09
