sim,state,soln,step,pH,pe,temp(C),charge(eq),pct_err,Na(mol/kgw),Cl(mol/kgw),K(mol/kgw),P(mol/kgw),Cu(mol/kgw),Fe(mol/kgw),S(mol/kgw),Au(mol/kgw),P(5)(mol/kgw),Cu(1)(mol/kgw),Cu(2)(mol/kgw),Fe(2)(mol/kgw),Fe(3)(mol/kgw),S(-2)(mol/kgw),S(6)(mol/kgw),Au(1)(mol/kgw),Au(3)(mol/kgw),m_Fe+2(mol/kgw),m_Fe+3(mol/kgw),m_FeOH+(mol/kgw),m_FeOH+2(mol/kgw),m_FeCl+(mol/kgw),m_FeCl+2(mol/kgw),m_FeCl2(mol/kgw),m_FeCl2+(mol/kgw),m_Fe(OH)4-(mol/kgw),la_SO4-2,la_Cu(HS)2-,la_Au(HS)2-,la_AuHS,la_H+,la_OH-,la_HS-,la_H2S,la_Au(OH)2-,la_Au+,la_Au+3,la_AuCl,la_AuCl2-,la_AuCl3-2,la_AuCl4-,la_AuOH,la_Cu2S(HS)2-2,la_CuCl+,la_CuCl2,la_CuCl2-,la_CuCl3-,la_CuCl3-2,la_CuCl4-2,la_CuHS,la_CuCl,la_CuOH,la_CuOH+,la_S-2,Magnetite,d_Magnetite,Chalcocite(alpha),d_Chalcocite(alpha),Chalcopyrite(alpha),d_Chalcopyrite(alpha),Bornite(alpha),d_Bornite(alpha),Au(element),d_Au(element),Pyrite,d_Pyrite,Cu(element),d_Cu(element),si_Hematite,si_Magnetite,si_Chalcocite(alpha),si_Pyrite,si_Chalcopyrite(alpha),si_Bornite(alpha),si_Cu(element),si_Au(element),rxn_step,pH_user,logaHS-,logaH2S,SR_Hematite,Pyrite_pct,Chalcopyrite(alpha)_pct,Bornite(alpha)_pct,Magnetite_pct,Chalcocite(alpha)_pct,Au(element)_pct,Cu(element)_pct
1,i_soln,1,-99,8.0,0.0,240.0,0.0027145162337519945,21.737284713878314,1.05,0.5,0.0009999999999999998,0.09999999999999999,9.999999999999998e-05,9.999999999999983e-05,0.009999999999999995,0.0001,0.09999999999999999,9.999999999999998e-05,0.0,0.0,9.999999999999983e-05,0.009999999999999995,0.0,0.0,0.0001,0.0,2.5415197893301156e-24,0.0,9.826570832120391e-17,0.0,3.794201345389355e-21,0.0,4.7380924818274315e-23,9.964139929981015e-05,-999.999,-4.900878484073395,-999.999,-999.999,-8.0,-3.2199400029887273,-2.377119139392362,-3.429384470507874,-999.999,-999.999,-5.975725951946002,-999.999,-999.999,-999.999,-32.376498063417415,-999.999,-10.064977027523511,-999.999,-999.999,-7.297098016539174,-999.999,-9.918163038771025,-999.999,-4.143894232557025,-9.020793845887686,-7.68260338188317,-999.999,-7.408069571910342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.158571027004797,-999.999,2.127068093300089,-999.999,-999.999,-999.999,-999.999,40.194598124453535,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,react,1,1,7.973656797060761,-7.269502028462855,240.0,0.002714516233751996,21.74528376805025,1.04999419279602,0.49999723466477136,0.0009999944693296666,0.09999944693295429,2.346711334300009e-10,7.638918035746978e-08,0.009799946268771936,5.914758124258077e-07,0.09999944683069038,2.346711334296233e-10,3.7752492460575914e-22,5.117003213798073e-08,2.5219148219489037e-08,0.009741386587028314,5.855338741429308e-05,5.914758124258077e-07,0.0,4.945993283691244e-11,8.165367514467079e-28,3.411967698357678e-09,2.9714698282475633e-20,1.5770179830647355e-09,1.2192240805176684e-24,7.562107324850261e-12,1.5230445997170774e-26,2.5123065925035484e-08,-6.343682694109758,-10.535312923134509,-6.584236655974703,-8.03106185135099,-7.973656797060761,-3.246279978268806,-2.3839375737822444,-3.4098597019585313,-14.534292454861788,-21.965112483797075,-67.97883016178804,-16.422569895207744,-15.94224387453592,-16.939901744827974,-94.37938688591082,-9.38185768080089,-21.353370674193773,-25.82718309846291,-24.763391171192364,-12.91778789314622,-25.797970003400867,-15.538799068540865,-27.983906981324946,-9.771510237228362,-14.641537569331941,-13.329740927444712,-24.322932081417164,-7.441231209239356,3.3130253518787124e-08,3.3130253518787124e-08,0.0,0.0,7.999981226204921e-07,7.999981226204921e-07,0.0,0.0,7.952681673304059e-07,7.952681673304059e-07,0.0,0.0,0.0,0.0,0.014592349688024697,0.6000000000000014,-9.147688684591735,0.24897555737539534,-2.000000000000014,-16.266347518685507,-6.767665909528511,0.0,1.0,7.973656797060761,-2.3839375737822444,-3.4098597019585313,1.034170986839602,0.0,49.12796737555745,0.0,2.034532292005193,0.0,48.83750033243736,0.0
1,react,1,2,7.97357497492132,-7.268965832063102,240.0,0.002714516233751743,21.745289438206335,1.0499941815563991,0.4999972293125611,0.0009999944586252735,0.0999994458625123,2.3455473420027546e-10,7.635803434611195e-08,0.0097999461636618,5.921398677409938e-07,0.0999994457604616,2.345547341998978e-10,3.776246724718098e-22,5.1134823532325744e-08,2.5223210813786204e-08,0.009740908804430494,5.9031051357308405e-05,5.921398677409938e-07,0.0,4.944407062067048e-11,8.172832931969329e-28,3.4102310777287667e-09,2.9736263677682406e-20,1.576512307423199e-09,1.2203388258943485e-24,7.559682756256085e-12,1.524437221790397e-26,2.512709499018778e-08,-6.340154117189362,-10.535546195121922,-6.583749699053113,-8.03055027469032,-7.97357497492132,-3.246361794229142,-2.383962193521332,-3.409802499558168,-14.533919890382709,-21.96457628739732,-67.97722157258879,-16.422033691818083,-15.941707664156352,-16.939365527458495,-94.37777826875192,-9.381403300361473,-21.35389442056891,-25.826830927582478,-24.763038993322027,-12.917971911675638,-25.797617818540623,-15.538983080080373,-27.98355478947479,-9.77171888947668,-14.641721594851266,-13.330006775914281,-24.322661733486974,-7.441337651117877,6.646366959603794e-08,3.333341607725082e-08,0.0,0.0,7.99998123551671e-07,9.31178894300437e-16,0.0,0.0,7.952628548078259e-07,-5.31252258004655e-12,0.0,0.0,0.0,0.0,0.014895267921270161,0.5999999999999979,-9.148163191488713,0.2496957862844127,-2.0,-16.267296532479463,-6.768386138437497,0.0,2.0,7.97357497492132,-2.383962193521332,-3.409802499558168,1.034892567560839,0.0,48.142640511226126,0.0,3.9996800720149404,0.0,47.857679416758934,0.0
1,react,1,3,7.973493072994271,-7.268432740625758,240.0,0.0027145162337514975,21.7452951131531,1.0499941703401225,0.49999722397146695,0.0009999944479431124,0.0999994447942936,2.3443893140697964e-10,7.632709771407585e-08,0.009799946058770425,5.928003709468929e-07,0.09999944469245418,2.3443893140660193e-10,3.777224382553892e-22,5.109988993188875e-08,2.5227207782187097e-08,0.009740430630626809,5.9509106790954676e-05,5.928003709468929e-07,0.0,4.942847329665546e-11,8.180289687548567e-28,3.4085126305903507e-09,2.975778291744537e-20,1.5760150778549295e-09,1.2214522780267557e-24,7.557298688451228e-12,1.52582822862563e-26,2.5131058652753993e-08,-6.336651120033763,-10.535778485324702,-6.583265890981326,-8.030041824935758,-7.973493072994271,-3.246443689985424,-2.383986835204107,-3.4097452393138994,-14.533550590457928,-21.964043195959977,-67.97562229827675,-16.42150059337349,-15.941174558704514,-16.938832414999414,-94.37617896641089,-9.38095210468041,-21.354416261218752,-25.826480835975115,-24.762688894707416,-12.918154904498369,-25.797267712918764,-15.539166065895857,-27.983204676845688,-9.771926537996684,-14.641904594681245,-13.330271678507788,-24.322393544643138,-7.441444194727712,9.979708511653758e-08,3.3333415520499636e-08,0.0,0.0,7.999981244780785e-07,9.264074518294352e-16,0.0,0.0,7.952575707022689e-07,-5.284105556931806e-12,0.0,0.0,0.0,0.0,0.015196062985060266,0.600000000000005,-9.14863574877301,0.25041188455896446,-2.0,-16.268241647048058,-6.769102236712066,0.0,3.0,7.973493072994271,-2.383986835204107,-3.4097452393138994,1.0356095888784917,0.0,47.19605983820519,0.0,5.887550303835278,0.0,46.91638985795954,0.0
1,react,1,4,7.973411092299563,-7.267902712556473,240.0,0.0027145162337512577,21.745300792819148,1.0499941591468325,0.4999972186413192,0.000999994437282845,0.09999944372826393,2.3432371699160765e-10,7.629636743885834e-08,0.009799945954094308,5.934573661618895e-07,0.09999944362663388,2.3432371699122984e-10,3.7781824716939617e-22,5.1065227461253364e-08,2.523113997760497e-08,0.009739952071711298,5.9987547616972974e-05,5.934573661618895e-07,0.0,4.941313715289709e-11,8.187737955170701e-28,3.4068120994966734e-09,2.977925671308957e-20,1.5755261760044442e-09,1.222564462890051e-24,7.55495455389607e-12,1.5272176526692226e-26,2.5134957762741856e-08,-6.333173360404147,-10.536009806927503,-6.582785189557107,-8.029536460189014,-7.973411092299563,-3.2465256645175726,-2.3840114985266485,-3.4096879219417175,-14.533184511452939,-21.963513167890692,-67.9740322140689,-16.420970558279876,-15.940644516586566,-16.93830236585713,-94.37458885410571,-9.380504051143273,-21.354936221796535,-25.826132795839232,-24.762340847547197,-12.918336885407438,-25.796919658734215,-15.539348039780593,-27.98285661563681,-9.772133196276961,-14.642086582614645,-13.330535647997667,-24.32212748606373,-7.441550838744943,1.331305000883245e-07,3.333341497178693e-08,0.0,0.0,7.99998125399779e-07,9.21700489741543e-16,0.0,0.0,7.952523146607856e-07,-5.256041483340578e-12,0.0,0.0,0.0,0.0,0.015494763288954161,0.5999999999999943,-9.149106382705703,0.2511239075860132,-1.9999999999999716,-16.269182914913415,-6.769814259739083,0.0,4.0,7.973411092299563,-2.3840114985266485,-3.4096879219417175,1.0363221084119187,0.0,46.28598399904041,0.0,7.702613295241277,0.0,46.01140270571832,0.0
1,react,1,5,7.973329033830461,-7.267375707003907,240.0,0.0027145162337510226,21.745306477134932,1.04999414797618,0.4999972133219516,0.0009999944266441362,0.09999944266439026,2.342090830413599e-10,7.626584055639771e-08,0.009799945849630348,5.941108967829337e-07,0.0999994425629677,2.34209083040982e-10,3.7791212398433857e-22,5.103083231884238e-08,2.5235008237555323e-08,0.009739473133622075,6.0466367893445356e-05,5.941108967829337e-07,0.0,4.939805855034041e-11,8.195177906251372e-28,3.4051292319799787e-09,2.980068576459919e-20,1.5750454858411346e-09,1.223675406078638e-24,7.552649796199408e-12,1.528605525892021e-26,2.5138793154812332e-08,-6.329720502253909,-10.536240172885122,-6.582307553337066,-8.02903413930271,-7.973329033830461,-3.2466077168321994,-2.3840361831929084,-3.4096305481388924,-14.532821610529625,-21.962986162338126,-67.9724511974112,-16.420443545686144,-15.940117496951668,-16.93777533918107,-94.37300780928335,-9.380059097905335,-21.355454327514597,-25.825786779870583,-24.761994824537386,-12.918517867950193,-25.796573628683237,-15.53952901528218,-27.982510578544666,-9.772338877568316,-14.642267572198566,-13.330798696937382,-24.32186352945088,-7.441657581880317,1.6646391451928176e-07,3.333341443095725e-08,0.0,0.0,7.999981263168358e-07,9.170568433664581e-16,0.0,0.0,7.952470863361983e-07,-5.2283245872727276e-12,0.0,0.0,0.0,0.0,0.01579139672942631,0.5999999999999996,-9.149575119091253,0.2518319097636592,-1.9999999999999716,-16.2701203876845,-6.770522261916736,0.0,5.0,7.973329033830461,-2.3840361831929084,-3.4096305481388924,1.0370301828005772,0.0,45.41034124066194,0.0,9.449001083764017,0.0,45.14065767557403,0.0
1,react,1,6,7.973246898565058,-7.266851683908583,240.0,0.0027145162337507927,21.745312166032,1.049994136827822,0.49999720801320047,0.0009999944160266594,0.09999944160264006,2.3409502180028053e-10,7.623551416343836e-08,0.009799945745374851,5.947610054189508e-07,0.09999944150142313,2.340950217999025e-10,3.780040930281165e-22,5.09967007793762e-08,2.5238813384062167e-08,0.009738993822203126,6.094556177199178e-05,5.947610054189508e-07,0.0,4.938323392276755e-11,8.202609708750827e-28,3.4034637806322804e-09,2.982207075811719e-20,1.5745728936568157e-09,1.2247851326709537e-24,7.550383870106361e-12,1.5299918796203316e-26,2.514256564818878e-08,-6.326292216012457,-10.536469595898504,-6.581832941678934,-8.02853482192598,-7.973246898565058,-3.2466898459510856,-2.3840608889114976,-3.4095731185920712,-14.532461845672072,-21.962462139242803,-67.97087912812523,-16.419919515533067,-15.939593459740836,-16.937251294912482,-94.37143571176637,-9.379617203928897,-21.355970603088192,-25.825442761293704,-24.761650798902753,-12.918697865410882,-25.796229595990848,-15.539709005685118,-27.982166538794523,-9.772543594863102,-14.64244757671701,-13.331060837632466,-24.32160164705064,-7.4417644228643125,1.9979732841713058e-07,3.3333413897848824e-08,0.0,0.0,7.999981272293109e-07,9.124751362756412e-16,0.0,0.0,7.952418853876327e-07,-5.200948565638456e-12,0.0,0.0,0.0,0.0,0.016085990664874927,0.5999999999999943,-9.15004198322763,0.25253594443515937,-1.9999999999999858,-16.2710541159573,-6.7712262965882575,0.0,6.0,7.973246898565058,-2.3840608889114976,-3.4095731185920712,1.0377338676374546,0.0,44.56721366968628,0.0,11.13053883893204,0.0,44.30224749138169,0.0
1,react,1,7,7.973164687456799,-7.266330603924614,240.0,0.0027145162337505707,21.74531785944364,1.0499941257014238,0.49999720271490644,0.0009999944054300972,0.09999944054298097,2.339815256523533e-10,7.620538541257428e-08,0.009799945641324982,5.954077339821931e-07,0.09999944044196787,2.339815256519752e-10,3.78094178204795e-22,5.096282918816141e-08,2.524255622441287e-08,0.00973851414315454,6.142512354900641e-05,5.954077339821931e-07,0.0,4.936865977346731e-11,8.210033528124701e-28,3.401815502797426e-09,2.9843412368755276e-20,1.5741082879595122e-09,1.225893667371483e-24,7.548156240989406e-12,1.5313767447133502e-26,2.514627604740692e-08,-6.322888178047134,-10.536698088447089,-6.581361314668534,-8.028038468428797,-7.973164687456799,-3.246772050920669,-2.3840856153982877,-3.4095156339706065,-14.532105175627274,-21.961941059258834,-67.96931588817333,-16.419398428474995,-15.939072365608665,-16.93673019370621,-94.36987244351805,-9.379178328914513,-21.356485072806816,-25.82510071381064,-24.76130874434559,-12.91887689083769,-25.795887534359586,-15.539888024037824,-27.98182447008916,-9.772747360924889,-14.642626609217919,-13.33132208217706,-24.321341811611266,-7.44187136045935,2.3313074178944374e-07,3.333341337231316e-08,0.0,0.0,7.999981281372653e-07,9.079544155570266e-16,0.0,0.0,7.952367114797892e-07,-5.173907843478662e-12,0.0,0.0,0.0,0.0,0.01637857196157988,0.6000000000000014,-9.150506999972713,0.25323606399414444,-1.9999999999999858,-16.271984149447434,-6.7719264161472355,0.0,7.0,7.973164687456799,-2.3840856153982877,-3.4095156339706065,1.038433217572008,0.0,43.754823229709594,0.0,12.750772830130852,0.0,43.49440394015956,0.0
1,react,1,8,7.973082401439006,-7.265812428427109,240.0,0.0027145162337503465,21.745323557304435,1.0499941145966576,0.4999971974269137,0.0009999943948541365,0.09999943948538248,2.3386858712338746e-10,7.617545151224049e-08,0.009799945537477742,5.960511236731536e-07,0.0999994393845714,2.338685871230093e-10,3.781824030002281e-22,5.0929213960914354e-08,2.524623755132614e-08,0.009738034102056124,6.190504764101186e-05,5.960511236731536e-07,0.0,4.935433267415401e-11,8.2174495270315e-28,3.4001841605292397e-09,2.986471125984621e-20,1.5736515594389804e-09,1.2270010344670942e-24,7.545966384682822e-12,1.53276015150864e-26,2.5149925142483177e-08,-6.319508070680306,-10.536925662783508,-6.580892633124809,-8.027545039908176,-7.973082401439006,-3.2468543308075084,-2.3841103623751803,-3.409458094929711,-14.531751559903443,-21.961422883761326,-67.96776136168081,-16.418880245887273,-15.938554175930731,-16.936211996938063,-94.36831788866468,-9.378742433303843,-21.356997760520592,-25.82476061160558,-24.76096863505031,-12.919054957039917,-25.795547417974095,-15.540066083149839,-27.981484346613456,-9.77295018828444,-14.64280468251036,-13.331582442446551,-24.321083996383255,-7.441978393454042,2.664641546436454e-07,3.333341285420166e-08,0.0,0.0,7.999981290407589e-07,9.034935165403118e-16,0.0,0.0,7.952315642830615e-07,-5.14719672767315e-12,0.0,0.0,0.0,0.0,0.016669166991697182,0.5999999999999961,-9.15097019373269,0.253932319874302,-1.9999999999999858,-16.2729105369674,-6.772622672027395,1.7763568394002505e-15,8.0,7.973082401439006,-2.3841103623751803,-3.409458094929711,1.0391282862988969,0.0,42.97151918475584,0.0,14.312995390437688,0.0,42.71548542480647,0.0
1,react,1,9,7.973000041428954,-7.265297119516993,240.0,0.002714516233750126,21.745329259550207,1.0499941035132019,0.499997192149069,0.0009999943842984717,0.09999943842981329,2.3375619888253364e-10,7.614570972659138e-08,0.00979994543383022,5.966912149692092e-07,0.09999943832920247,2.337561988821554e-10,3.7826879048826727e-22,5.089585158344237e-08,2.5249858143149014e-08,0.009737553704390374,6.238532856193106e-05,5.966912149692092e-07,0.0,4.934024926384628e-11,8.224857865079916e-28,3.398569520542463e-09,2.988596808230456e-20,1.5732026009309706e-09,1.2281072577892775e-24,7.543813787311516e-12,1.5341421297749362e-26,2.515351370911184e-08,-6.316151582190202,-10.537152330929125,-6.580426858602188,-8.02705449819181,-7.973000041428954,-3.246936684694214,-2.3841351295689215,-3.4094005021133995,-14.531400958766742,-21.960907574851213,-67.96621543495046,-16.418364929871068,-15.938038852808429,-16.935696666709667,-94.36677193350997,-9.378309478280437,-21.35750868962812,-25.824422429347493,-24.760630445686136,-12.919232076585853,-25.795209221503825,-15.540243195589682,-27.981146143037087,-9.773152089236312,-14.64298180916239,-13.331841930091384,-24.320828175117967,-7.442085520657836,2.997975669870116e-07,3.3333412343366177e-08,0.0,0.0,7.999981299398501e-07,8.990912745551944e-16,0.0,0.0,7.952264434736284e-07,-5.120809433092769e-12,0.0,0.0,0.0,0.0,0.016957801632864644,0.600000000000005,-9.151431588452745,0.25462476254252664,-2.000000000000014,-16.273833326407527,-6.773315114695635,0.0,9.0,7.973000041428954,-2.3841351295689215,-3.4094005021133995,1.0398191265506507,0.0,42.215766923481965,0.0,15.820267246252486,0.0,41.96396583026554,0.0
